brand,name,image,web_url
Hannaford,"Cereal, Shredded Wheat",https://media.fooducate.com/products/images/180x180/5DC40FB3-F09D-627B-48AD-8EEF733A1043-2435.jpeg,https://www.fooducate.com/product/Hannaford-Cereal-Shredded-Wheat/599081D4-42A2-0E29-463A-8E052DB5D1C7
Market Basket,Fiber Active Bran Cereal,https://media.fooducate.com/products/images/180x180/5133B230-5ACF-DD84-42CD-9215403EBBF4-4824.jpeg,https://www.fooducate.com/product/Market-Basket-Fiber-Active-Bran-Cereal/C4D2C59A-8440-11E2-9B11-1231381A4CEA
Best Choice,"Fiber Active Bran Cereal, Original Flavor",https://media.fooducate.com/products/images/180x180/52D99472-408A-2590-415D-91C38A27B794-6671.jpeg,https://www.fooducate.com/product/Best-Choice-Fiber-Active-Bran-Cereal-Original-Flavor/004B4138-2162-11E3-A74D-1E047F0525AB
Post,"Shredded Wheat, Original, Spoon Size",https://media.fooducate.com/products/images/180x180/5E3182C3-6400-30CF-4FA4-AF72CE69F3A6-8571.jpeg,https://www.fooducate.com/product/Post-Shredded-Wheat-Original-Spoon-Size/E5768922-E117-11DF-A102-FEFD45A4D471
Kroge,"Whole Wheat Cereal, Bite Size Shredded Wheat",https://media.fooducate.com/products/images/180x180/5D3ECD7B-0E00-F670-47DC-A63121527548-8098.jpeg,https://www.fooducate.com/product/Kroge-Whole-Wheat-Cereal-Bite-Size-Shredded-Wheat/5D3ECD7B-B91D-8444-49B2-B987C2307CBB
Kroge,"Whole Wheat Cereal, Bite Size Shredded Wheat",https://media.fooducate.com/products/images/180x180/5D3ECD7B-0E00-F670-47DC-A63121527548-8098.jpeg,https://www.fooducate.com/product/Kroge-Whole-Wheat-Cereal-Bite-Size-Shredded-Wheat/5D3ECD7B-B91D-8444-49B2-B987C2307CBB
Food For Life,"Ezekiel 4:9 Cereal, Almond",https://media.fooducate.com/products/images/180x180/5D47813A-0681-CFF2-41FC-8CA2BD4D604B-4520.jpeg,https://www.fooducate.com/product/Food-For-Life-Ezekiel-4-9-Cereal-Almond/2B491490-E110-11DF-A102-FEFD45A4D471
Post,"Cereal, Shredded Wheat",https://media.fooducate.com/products/images/180x180/5D6E7EC8-62DA-0B4E-45C8-94EB86291D67-5382.jpeg,https://www.fooducate.com/product/Post-Cereal-Shredded-Wheat/E571D5DA-E117-11DF-A102-FEFD45A4D471
Food For Life,"Cereal, Golden Flax",https://media.fooducate.com/products/images/180x180/5D443F15-F017-BED7-4E4D-B6DCD504A0FA-8268.jpeg,https://www.fooducate.com/product/Food-For-Life-Cereal-Golden-Flax/2B36EEC8-E110-11DF-A102-FEFD45A4D471
Food For Life,"Cereal, Original",https://media.fooducate.com/products/images/180x180/5D83CE90-CA7D-6D05-4EF0-A410C137F7DA-3249.jpeg,https://www.fooducate.com/product/Food-For-Life-Cereal-Original/2B2E998A-E110-11DF-A102-FEFD45A4D471
Mom's Best,"Cereal,Family Size Naturals Toasted Wheat-Fuls",https://media.fooducate.com/products/images/180x180/001FEC31-91A7-6D45-DB95-C888B5362B8A.jpg,https://www.fooducate.com/product/Mom-s-Best-Cereal-Family-Size-Naturals-Toasted-Wheat-Fuls/FE40E682-0CF5-11E0-BF92-FEFD45A4D471
Shredded Wheat,"Cereal, Original",https://media.fooducate.com/products/images/180x180/4E315917-8930-201C-4EF9-A53576C53AA2.jpg,https://www.fooducate.com/product/Shredded-Wheat-Cereal-Original/274BF13C-E10B-11DF-A102-FEFD45A4D471
Safeway,"Cereal, Shredded Wheat, Bite-Sized",https://media.fooducate.com/products/images/180x180/4E55353E-D600-BF02-4E93-9715118BE6EE.jpeg,https://www.fooducate.com/product/Safeway-Cereal-Shredded-Wheat-Bite-Sized/2AFE6750-E107-11DF-A102-FEFD45A4D471
Stop & Shop,"Cereal, Shredded Wheat, Bite Size",https://media.fooducate.com/products/images/180x180/4E71D92C-04EE-4211-40E8-AC5D0626ADF7.jpeg,https://www.fooducate.com/product/Stop-Shop-Cereal-Shredded-Wheat-Bite-Size/825D9670-E115-11DF-A102-FEFD45A4D471
Schnucks,"Cereal,Essential Choice Bite Size Shredded Wheat",https://media.fooducate.com/products/images/180x180/00DA66C7-3515-F643-D381-9E4C1E3CE910.jpg,https://www.fooducate.com/product/Schnucks-Cereal-Essential-Choice-Bite-Size-Shredded-Wheat/1BCA4D1C-0CF4-11E0-BF92-FEFD45A4D471
Essential Everyday,"Cereal, Shredded Wheat, Spoon Size",https://media.fooducate.com/products/images/180x180/4F67486E-7E4D-6176-45C7-B0B1E0189E03.jpeg,https://www.fooducate.com/product/Essential-Everyday-Cereal-Shredded-Wheat-Spoon-Size/4CBED5B0-71D3-11E1-AFF9-1231380C18FB
Essential Everyday,"Cereal, Shredded Wheat, Spoon Size",https://media.fooducate.com/products/images/180x180/4F67486E-7E4D-6176-45C7-B0B1E0189E03.jpeg,https://www.fooducate.com/product/Essential-Everyday-Cereal-Shredded-Wheat-Spoon-Size/4CBED5B0-71D3-11E1-AFF9-1231380C18FB
Food Club,Bite Size Shredded Wheat Cereal,https://media.fooducate.com/products/images/180x180/513EA071-D22F-B691-4E3A-8A2F1698EBBE-8062.jpeg,https://www.fooducate.com/product/Food-Club-Bite-Size-Shredded-Wheat-Cereal/A835D438-8AC4-11E2-9B11-1231381A4CEA
Market Basket,"Shredded Wheat, 100% Whole Wheat Cereal",https://media.fooducate.com/products/images/180x180/5200D8DD-8F04-8CCC-4BD1-8519C27098BD-5274.jpeg,https://www.fooducate.com/product/Market-Basket-Shredded-Wheat-100-Whole-Wheat-Cereal/5CC5A410-C3EA-11E2-BF1C-1E047F2017A1
Ralston Foods,"Shredded Wheat, 100% Whole Grain Wheat Cereal",https://media.fooducate.com/products/images/180x180/54F825A1-8920-1F4B-44A8-867098424E0E-2989.jpeg,https://www.fooducate.com/product/Ralston-Foods-Shredded-Wheat-100-Whole-Grain-Wheat-Cereal/54F825A1-3B02-9D4C-4FA3-BC94094EA233
BARBARA'S,"Cereal, Shredded Wheat",https://media.fooducate.com/products/images/180x180/52A767E9-2A87-0DB0-4561-9101E2B34D40-9426.jpeg,https://www.fooducate.com/product/BARBARA-S-Cereal-Shredded-Wheat/BDB9E7B2-E10D-11DF-A102-FEFD45A4D471
Harris Teeter,"Fiber Way, A Crunchy Wheat And Corn Bran Cereal, High Fiber Cereal",https://media.fooducate.com/products/images/180x180/529E78F8-7EDD-BB91-4E59-87002210EA76-7750.jpeg,https://www.fooducate.com/product/Harris-Teeter-Fiber-Way-A-Crunchy-Wheat-And-Corn-Bran-Cereal-High-Fiber-Cereal/2E1F2464-7F5D-11E2-9B11-1231381A4CEA
Krusteaz,"Zoom Cereal,100% Whole Wheat",https://media.fooducate.com/products/images/180x180/00FFE483-5822-524C-0E8B-A49376AF8F1E.jpg,https://www.fooducate.com/product/Krusteaz-Zoom-Cereal-100-Whole-Wheat/31FD434A-0CF5-11E0-BF92-FEFD45A4D471
Kashi,7 Whole Grain Flakes Cereal,https://media.fooducate.com/products/images/180x180/5DA7B737-E515-FD62-41FB-8B86F58DCE75-4964.jpeg,https://www.fooducate.com/product/Kashi-7-Whole-Grain-Flakes-Cereal/4C4807BE-DBE1-11E1-956E-1231381BA074
Nature's Path,"Cereal, Smart Bran with Psyllium & Oatbran",https://media.fooducate.com/products/images/180x180/5D953E01-AE78-C94D-4B02-9B4142B61A1F-7668.jpeg,https://www.fooducate.com/product/Nature-s-Path-Cereal-Smart-Bran-with-Psyllium-Oatbran/CDC6821A-E10C-11DF-A102-FEFD45A4D471
Publix,"Cereal, Shredded Wheat, 100% Whole Wheat Cereal",https://media.fooducate.com/products/images/180x180/5D5BDDF3-6927-785F-4A64-AAC32EA83253-7540.jpeg,https://www.fooducate.com/product/Publix-Cereal-Shredded-Wheat-100-Whole-Wheat-Cereal/85F1DC4C-C34B-11E0-8977-1231380C180E
Shiloh Farms,Organic Unprocessed Coarse Wheat Bran,https://media.fooducate.com/products/images/180x180/55E48EAA-7C57-1751-4F83-A50040B49E6A-4081.jpeg,https://www.fooducate.com/product/Shiloh-Farms-Organic-Unprocessed-Coarse-Wheat-Bran/55E48EAA-71BF-8156-4A38-AB47904DDCA7
